"[5.0, 0.0, 0.0, 6300000.0, 14600000.0, 12.0, 652.0, 10300000.0, 3500000.0, 23500000.0, 5900000.0]","['5', '0', '0', '40000', '14600000', '12', '652', '10300000', '250', '2000', '5900000']",33257750,33257750,0.04195261001586914
"[3.0, 0.0, 0.0, 4900000.0, 11900000.0, 8.0, 612.0, 9700000.0, 1200000.0, 19000000.0, 5800000.0]","['3', '0', '0', '40000', '11900000', '8', '612', '9700000', '250', '2000', '5800000']",25057750,25057750,0.023627519607543945
"[5.0, 0.0, 0.0, 3600000.0, 7700000.0, 16.0, 830.0, 7000000.0, 1300000.0, 10000000.0, 2900000.0]","['5', '0', '0', '40000', '7700000', '16', '750', '7000000', '250', '2000', '2900000']",14857830,14857830,0.03188014030456543
"[5.0, 0.0, 0.0, 6500000.0, 13400000.0, 18.0, 787.0, 18200000.0, 300000.0, 16200000.0, 5400000.0]",,,,0.01531529426574707
"[5.0, 1.0, 0.0, 3800000.0, 7600000.0, 4.0, 689.0, 8700000.0, 100000.0, 9300000.0, 3400000.0]","['5', '1', '0', '40000', '7600000', '5', '689', '8700000', '250', '2000', '3400000']",13157751,13157751,0.029160499572753906
"[2.0, 1.0, 0.0, 8500000.0, 18900000.0, 18.0, 478.0, 23800000.0, 16300000.0, 25900000.0, 11400000.0]",,,,0.022087574005126953
"[1.0, 0.0, 0.0, 4100000.0, 10300000.0, 12.0, 364.0, 9500000.0, 6100000.0, 14900000.0, 2800000.0]","['1', '0', '0', '40000', '10300000', '12', '600', '9500000', '250', '2000', '2800000']",25057986,25057986,0.04421520233154297
"[5.0, 1.0, 0.0, 7000000.0, 18300000.0, 4.0, 418.0, 18400000.0, 11700000.0, 21500000.0, 7600000.0]","['5', '1', '0', '40000', '18300000', '5', '600', '18400000', '250', '2000', '7600000']",40157933,40157933,0.03653359413146973
"[0.0, 1.0, 0.0, 700000.0, 1400000.0, 14.0, 639.0, 1900000.0, 700000.0, 2400000.0, 900000.0]",,,,0.025398969650268555
"[2.0, 1.0, 1.0, 9900000.0, 21200000.0, 16.0, 363.0, 25500000.0, 11400000.0, 26600000.0, 6800000.0]","['2', '1', '1', '40000', '21200000', '16', '600', '25500000', '250', '2000', '6800000']",47857987,47857987,0.028841018676757812
"[3.0, 0.0, 0.0, 3600000.0, 8600000.0, 20.0, 613.0, 9400000.0, 300000.0, 10300000.0, 3300000.0]","['3', '0', '0', '40000', '8600000', '20', '613', '9400000', '250', '2000', '3300000']",14157750,14157750,0.028627634048461914
"[4.0, 0.0, 0.0, 8800000.0, 20700000.0, 18.0, 540.0, 19200000.0, 3200000.0, 22400000.0, 12700000.0]","['4', '0', '0', '40000', '20700000', '18', '600', '19200000', '250', '2000', '12700000']",34357810,34357810,0.032913923263549805
"[4.0, 0.0, 0.0, 3800000.0, 8900000.0, 4.0, 844.0, 9100000.0, 3500000.0, 13100000.0, 4700000.0]","['4', '0', '0', '40000', '8900000', '5', '750', '9100000', '250', '2000', '4700000']",20357845,20357845,0.025409460067749023
"[2.0, 0.0, 0.0, 1000000.0, 2000000.0, 10.0, 366.0, 1200000.0, 400000.0, 3200000.0, 1300000.0]","['2', '0', '0', '40000', '2000000', '10', '600', '1200000', '250', '2000', '1300000']",4557984,4557984,0.024656295776367188
"[3.0, 1.0, 1.0, 4200000.0, 9700000.0, 16.0, 841.0, 7800000.0, 300000.0, 16700000.0, 5100000.0]","['3', '1', '1', '40000', '9700000', '16', '750', '7800000', '250', '2000', '5100000']",21157841,21157841,0.022197246551513672
"[2.0, 0.0, 0.0, 3300000.0, 6800000.0, 14.0, 317.0, 3400000.0, 300000.0, 11700000.0, 3600000.0]","['2', '0', '0', '40000', '6800000', '14', '600', '3400000', '250', '2000', '3600000']",15258033,15258033,0.02944469451904297
"[0.0, 1.0, 1.0, 9000000.0, 18700000.0, 18.0, 865.0, 26800000.0, 0.0, 20900000.0, 11300000.0]",,,,0.01793503761291504
"[0.0, 1.0, 1.0, 9500000.0, 20800000.0, 14.0, 565.0, 15100000.0, 11900000.0, 33900000.0, 13400000.0]","['0', '1', '1', '40000', '20800000', '14', '600', '15100000', '250', '2000', '13400000']",55257785,55257785,0.025236845016479492
"[4.0, 1.0, 1.0, 6800000.0, 13900000.0, 8.0, 479.0, 11700000.0, 9100000.0, 25700000.0, 9600000.0]","['4', '1', '1', '40000', '13900000', '8', '600', '11700000', '250', '2000', '9600000']",41557871,41557871,0.029781579971313477
"[3.0, 0.0, 1.0, 1400000.0, 3200000.0, 20.0, 772.0, 2400000.0, 900000.0, 5100000.0, 1600000.0]","['3', '0', '1', '40000', '3200000', '20', '750', '2400000', '250', '2000', '1600000']",7357772,7357772,0.031168699264526367
"[0.0, 1.0, 1.0, 4900000.0, 11900000.0, 16.0, 709.0, 14600000.0, 900000.0, 18500000.0, 3800000.0]","['0', '1', '1', '40000', '11900000', '16', '709', '14600000', '250', '2000', '3800000']",24257750,24257750,0.0337071418762207
"[5.0, 1.0, 0.0, 5000000.0, 11200000.0, 8.0, 701.0, 9100000.0, 500000.0, 14000000.0, 4600000.0]","['5', '1', '0', '40000', '11200000', '8', '701', '9100000', '250', '2000', '4600000']",19457750,19457750,0.02907395362854004
"[5.0, 0.0, 1.0, 700000.0, 1300000.0, 20.0, 704.0, 1600000.0, 0.0, 2200000.0, 600000.0]",,,,0.019261837005615234
"[3.0, 1.0, 0.0, 9700000.0, 20600000.0, 16.0, 524.0, 24200000.0, 11100000.0, 27400000.0, 6100000.0]","['3', '1', '0', '40000', '20600000', '16', '600', '24200000', '250', '2000', '6100000']",48157826,48157826,0.020644187927246094
"[2.0, 1.0, 1.0, 2000000.0, 5300000.0, 10.0, 681.0, 4900000.0, 1400000.0, 4300000.0, 2900000.0]","['2', '1', '1', '40000', '5300000', '10', '681', '4900000', '250', '2000', '2900000']",7657750,7657750,0.023826122283935547
"[2.0, 0.0, 1.0, 8100000.0, 22300000.0, 18.0, 737.0, 22300000.0, 12600000.0, 27000000.0, 7300000.0]","['2', '0', '1', '40000', '22300000', '18', '737', '22300000', '250', '2000', '7300000']",47657750,47657750,0.01964426040649414
"[4.0, 0.0, 0.0, 1400000.0, 3100000.0, 14.0, 575.0, 3000000.0, 2100000.0, 4900000.0, 1400000.0]","['4', '0', '0', '40000', '3100000', '14', '600', '3000000', '250', '2000', '1400000']",8357775,8357775,0.022700786590576172
"[0.0, 1.0, 0.0, 3000000.0, 6500000.0, 2.0, 612.0, 8800000.0, 3400000.0, 6700000.0, 1700000.0]",,,,0.015649795532226562
